	input	category	prediction
35	The judge liked that Emma declared that a patient said that Isabella believed that Liam hoped that Olivia liked that the child liked that a girl hoped that Oliver liked that the king was given a cake .	cp_recursion	* judge ( 0 ) ; Emma ( 59 ) ; * patient (
36	The fly confessed that the cat admired that the customer wished that a priest believed that the baby liked that the bottle was given to a horse by the father .	cp_recursion	* fly ( 52 ) ; * cat ( 49 ) ; * customer ( 
37	The bear admired that a bird liked that Emma liked that the child proved that Liam liked that Isabella liked that the dog said that Avery hoped that Leah proved that the boy liked that the girl tolerated that a cake froze .	cp_recursion	* bear ( 26 ) ; bird ( 59 ) ; Emma ( 4 
38	Emma liked that Ella liked that Liam respected that Oliver noticed that a girl imagined that Bella meant that Ava said that a hero was awarded the cake on the truck in the crib in the room .	cp_recursion	Emma ( 37 ) ; Ella ( 0 ) ; Liam ( 28
39	Levi liked that Emma declared that the girl wished that a lawyer liked that the turtle imagined that a monkey liked that Charlotte ate .	cp_recursion	Levi ( 5 ) ; Emma ( 0 ) ; * girl ( 19 
40	Noah teleported a lollipop beside the box to a girl .	do_dative_to_pp_dative	Noah ( 36 ) ; lollipop ( 59 ) ; * box
41	The girl teleported the donut in the house to the cat .	do_dative_to_pp_dative	* girl ( 59 ) ; * donut ( 59 ) ; *
42	Emma teleported a cake to a dog .	do_dative_to_pp_dative	Emma ( 6 ) ; cake ( 49 ) ; dog ( 59 )
43	Olivia teleported a mandarin to the cat .	do_dative_to_pp_dative	Olivia ( 0 ) ; mandarin ( 0 ) ; * cat
44	The cat teleported a crown on a table to Emma .	do_dative_to_pp_dative	* cat ( 0 ) ; crown ( 45 ) ; table ( 0
45	The child teleported the glue on a tree to Olivia .	do_dative_to_pp_dative	* child ( 59 ) ; * glue ( 46 ) ; tree ( 5
46	Joshua teleported the cookie beside the box to a girl .	do_dative_to_pp_dative	Joshua ( 59 ) ; * cookie ( 59 ) ; * box (
47	A monkey teleported the cake to Ava .	do_dative_to_pp_dative	monkey ( 59 ) ; * cake ( 16 ) ; Ava ( 
48	The dog teleported a cookie on a table to Harper .	do_dative_to_pp_dative	* dog ( 26 ) ; cookie ( 36 ) ; table ( 30 )
49	Liam teleported the cookie in a car to a boy .	do_dative_to_pp_dative	Liam ( 0 ) ; * cookie ( 46 ) ; car ( 
50	Liam teleported the box beside the stage to a tourist .	do_dative_to_pp_dative	Liam ( 59 ) ; * box ( 0 ) ; * stage
51	Sophia teleported the cake on a table to a girl .	do_dative_to_pp_dative	Sophia ( 0 ) ; * cake ( 0 ) ; table ( 22
52	Julian teleported the cookie beside the table to a girl .	do_dative_to_pp_dative	Julian ( 0 ) ; * cookie ( 0 ) ; * table (
53	Emma teleported the potato beside the stool to the girl .	do_dative_to_pp_dative	Emma ( 0 ) ; * potato ( 24 ) ; * stool ( 
54	The lawyer hoped that the tourist believed that Ava teleported the cake beside the table to the girl .	do_dative_to_pp_dative	* lawyer ( 59 ) ; * tourist ( 22 ) ; Ava (
55	Emma teleported the donut to Benjamin .	do_dative_to_pp_dative	Emma ( 59 ) ; * donut ( 7 ) ; Benjamin ( 48
56	Luna teleported a cake to Sophia .	do_dative_to_pp_dative	Luna ( 0 ) ; cake ( 0 ) ; Sophia ( 59
57	The boy teleported a newspaper beside a road to the mouse .	do_dative_to_pp_dative	* boy ( 59 ) ; newspaper ( 7 ) ; road ( 13 
58	Emma teleported the cake in a room to the boy .	do_dative_to_pp_dative	Emma ( 0 ) ; * cake ( 22 ) ; room ( 59
59	Liam teleported the raisin to a baby .	do_dative_to_pp_dative	Liam ( 59 ) ; * raisin ( 48 ) ; baby
60	A cat baked a girl on the desk .	obj_omitted_transitive_to_transitive	cat ( 0 ) ; girl ( 0 ) ; * desk ( 
61	Natalie respected that the girl baked the box .	obj_omitted_transitive_to_transitive	Natalie ( 23 ) ; * girl ( 12 ) ; * box ( 13 
62	Emma baked the cookie .	obj_omitted_transitive_to_transitive	Emma ( 59 ) ; * cookie ( 14 ) ; bake ( 0
63	A sailor baked a cake .	obj_omitted_transitive_to_transitive	sailor ( 30 ) ; cake ( 4 ) ; bake ( 
64	Jackson baked Jayden .	obj_omitted_transitive_to_transitive	Jackson ( 0 ) ; Jayden ( 0 ) ; bake ( 
65	Liam baked a girl on a table .	obj_omitted_transitive_to_transitive	Liam ( 59 ) ; girl ( 0 ) ; table ( 38
66	Emma baked Christopher .	obj_omitted_transitive_to_transitive	Emma ( 30 ) ; Christopher ( 0 ) ; bake ( 53 )
67	The cat baked the frog on the table .	obj_omitted_transitive_to_transitive	* cat ( 59 ) ; * frog ( 0 ) ;
68	Emma baked the drink beside the stool .	obj_omitted_transitive_to_transitive	Emma ( 0 ) ; * drink ( 46 ) ; * stool ( 44
69	Emma baked Hannah .	obj_omitted_transitive_to_transitive	Emma ( 59 ) ; Hannah ( 0 ) ; bake ( 37 
70	Olivia baked the tool beside the table .	obj_omitted_transitive_to_transitive	Olivia ( 22 ) ; * tool ( 43 ) ; * table ( 59
71	A girl baked the boy in the trap .	obj_omitted_transitive_to_transitive	girl ( 51 ) ; * boy ( 53 ) ; * trap ( 53 
72	A girl liked that the patient baked a donut on a windowsill .	obj_omitted_transitive_to_transitive	girl ( 0 ) ; * patient ( 33 ) ; donut ( 19
73	Benjamin hoped that a teacher baked the boy .	obj_omitted_transitive_to_transitive	Benjamin ( 59 ) ; teacher ( 43 ) ; * boy ( 59
74	Aiden baked Liam .	obj_omitted_transitive_to_transitive	Aiden ( 0 ) ; Liam ( 0 ) ; bake (
75	The frog baked a cake .	obj_omitted_transitive_to_transitive	* frog ( 59 ) ; cake ( 17 ) ; bake (
76	Emma baked the donut beside a table .	obj_omitted_transitive_to_transitive	Emma ( 38 ) ; * donut ( 59 ) ; table ( 17
77	Carter baked Emma .	obj_omitted_transitive_to_transitive	Carter ( 31 ) ; Emma ( 59 ) ; bake ( 59 
78	The president baked a cake in a vehicle .	obj_omitted_transitive_to_transitive	* president ( 0 ) ; cake ( 52 ) ; vehicle ( 22 
79	The spokesman baked a pig .	obj_omitted_transitive_to_transitive	* spokesman ( 59 ) ; pig ( 59 ) ;
80	A strawberry beside a machine was thrown by a lion on a box .	obj_pp_to_subj_pp	strawberry ( 59 ) ; machine ( 59 ) ; lion ( 
81	The boy on a towel gave the frog the cake on a booklet .	obj_pp_to_subj_pp	* boy ( 59 ) ; towel ( 54 ) ; * frog
82	The bird in a box was awarded a ball by the girl beside the machine .	obj_pp_to_subj_pp	* bird ( 37 ) ; box ( 0 ) ; ball ( 0
83	A producer on a table was given the pumpkin beside a cabinet .	obj_pp_to_subj_pp	producer ( 49 ) ; table ( 59 ) ; * pumpkin ( 46 
84	The friend in a house beside a stage needed to sneeze .	obj_pp_to_subj_pp	* friend ( 59 ) ; house ( 5 ) ; stage ( 29 
85	The cake on the bed was rolled by the girl in a tin .	obj_pp_to_subj_pp	* cake ( 0 ) ; * bed ( 59 ) ; * girl
86	The boy in a bush liked Ryan .	obj_pp_to_subj_pp	* boy ( 31 ) ; bush ( 0 ) ; Ryan ( 59
87	The basket on the keyboard was eaten .	obj_pp_to_subj_pp	* basket ( 59 ) ; * keyboard ( 59 ) ; eat
88	The chief beside the skull rolled Grace .	obj_pp_to_subj_pp	* chief ( 33 ) ; * skull ( 59 ) ; Grace ( 
89	The duck beside a table was served the flag .	obj_pp_to_subj_pp	* duck ( 32 ) ; table ( 0 ) ; * flag ( 28
90	The moose on the computer liked James .	obj_pp_to_subj_pp	* moose ( 39 ) ; * computer ( 0 ) ; James
91	The boy beside a yacht cleaned .	obj_pp_to_subj_pp	* boy ( 0 ) ; yacht ( 0 ) ; nmod
92	A cat on the computer noticed that the teacher beside the book valued the boy .	obj_pp_to_subj_pp	cat ( 23 ) ; * computer ( 59 ) ; * teacher ( 
93	The cake on a bed was rolled .	obj_pp_to_subj_pp	* cake ( 59 ) ; bed ( 59 ) ; nmod
94	The cookie beside a bed was disintegrated by a father in the cupboard .	obj_pp_to_subj_pp	* cookie ( 59 ) ; bed ( 43 ) ; father ( 0
95	A rose beside a table was eaten by a king in the house .	obj_pp_to_subj_pp	rose ( 0 ) ; table ( 59 ) ; king ( 
96	The cake in the room was seen .	obj_pp_to_subj_pp	* cake ( 59 ) ; * room ( 59 ) ; n
97	A girl in the house forwarded Victoria a gumball in the shoe .	obj_pp_to_subj_pp	girl ( 24 ) ; * house ( 20 ) ; Victoria ( 0 
98	The raisin beside the table was valued by a bear beside a stage .	obj_pp_to_subj_pp	* raisin ( 59 ) ; * table ( 31 ) ; bear
99	A horse in the house was given the hammer beside a bed .	obj_pp_to_subj_pp	horse ( 0 ) ; * hammer ( 0 ) ; bed
100	A cockroach cleaned the cookie on a sock .	obj_to_subj_common	cockroach ( 59 ) ; * cookie ( 0 ) ; 
101	The cockroach slid a guest .	obj_to_subj_common	* cockroach ( 59 ) ; guest ( 31 ) ; slide (
102	The cockroach lended the girl the cake .	obj_to_subj_common	* cockroach ( 59 ) ; * girl ( 26 ) ; *
103	A cockroach burned the sandwich .	obj_to_subj_common	cockroach ( 0 ) ; * sandwich ( 32 ) ; burn (
104	The cockroach lended the child a cake .	obj_to_subj_common	* cockroach ( 19 ) ; * child ( 0 ) ; cake
105	The cockroach split Isabella .	obj_to_subj_common	* cockroach ( 23 ) ; Isabella ( 59 ) ; split
106	A cockroach fed the girl the cake .	obj_to_subj_common	cockroach ( 0 ) ; * girl ( 27 ) ; * cake
107	William hoped that a cockroach ate .	obj_to_subj_common	William ( 31 ) ; cockroach ( 59 ) ; hope ( 
108	A cockroach observed .	obj_to_subj_common	cockroach ( 54 ) ; observe ( 52 ) AND agent ( 52,
109	The cockroach passed a judge the donut on the stage .	obj_to_subj_common	* cockroach ( 0 ) ; judge ( 49 ) ; * do
110	A girl hoped that the cockroach gave a cake beside the bed to a cat .	obj_to_subj_common	girl ( 49 ) ; * cockroach ( 59 ) ; cake (
111	A cockroach liked the cake .	obj_to_subj_common	cockroach ( 52 ) ; * cake ( 0 ) ; like (
112	The cockroach lended Charlotte the cookie .	obj_to_subj_common	* cockroach ( 59 ) ; Charlotte ( 59 ) ; *
113	The cockroach passed Emma a cake .	obj_to_subj_common	* cockroach ( 22 ) ; Emma ( 0 ) ; cake (
114	The cockroach studied .	obj_to_subj_common	* cockroach ( 59 ) ; study ( 59 ) AND agent (
115	A cockroach painted Lucas .	obj_to_subj_common	cockroach ( 59 ) ; Lucas ( 15 ) ; paint ( 49
116	Nora said that the cockroach painted the box on a table .	obj_to_subj_common	Nora ( 12 ) ; * cockroach ( 59 ) ; *
117	Emma liked that the cockroach ate .	obj_to_subj_common	Emma ( 0 ) ; * cockroach ( 42 ) ; like (
118	A cockroach liked a strawberry on the mattress .	obj_to_subj_common	cockroach ( 52 ) ; strawberry ( 31 ) ; * mattress ( 18
119	The girl said that the cockroach dreamed to read .	obj_to_subj_common	* girl ( 42 ) ; * cockroach ( 0 ) ; say
120	Charlie offered a flag beside a trophy to Liam .	obj_to_subj_proper	Charlie ( 0 ) ; flag ( 0 ) ; trophy ( 59
121	Charlie studied a shell in the house .	obj_to_subj_proper	Charlie ( 0 ) ; shell ( 0 ) ; * house ( 
122	Charlie rolled the doll .	obj_to_subj_proper	Charlie ( 11 ) ; * doll ( 59 ) ; roll ( 59
123	Charlie helped a donut on the table .	obj_to_subj_proper	Charlie ( 51 ) ; donut ( 46 ) ; * table ( 59
124	Charlie ate the cookie on a table .	obj_to_subj_proper	Charlie ( 59 ) ; * cookie ( 34 ) ; table ( 43 
125	Charlie gave the cake on a seat to the girl .	obj_to_subj_proper	Charlie ( 59 ) ; * cake ( 1 ) ; seat ( 39 
126	Charlie inflated Lily .	obj_to_subj_proper	Charlie ( 41 ) ; Lily ( 59 ) ; inflate (
127	Charlie gave a cookie to a girl .	obj_to_subj_proper	Charlie ( 26 ) ; cookie ( 0 ) ; girl ( 59 
128	Charlie ate the girl on a stage .	obj_to_subj_proper	Charlie ( 48 ) ; * girl ( 0 ) ; stage ( 59
129	Charlie offered Savannah the cake on a bed .	obj_to_subj_proper	Charlie ( 52 ) ; Savannah ( 59 ) ; * cake ( 43 
130	Charlie rolled Isabella .	obj_to_subj_proper	Charlie ( 14 ) ; Isabella ( 0 ) ; roll ( 18 
131	Charlie liked Harper .	obj_to_subj_proper	Charlie ( 18 ) ; Harper ( 31 ) ; like ( 59 )
132	Charlie liked the crystal in a car .	obj_to_subj_proper	Charlie ( 59 ) ; * crystal ( 3 ) ; car ( 19 
133	Charlie fed the zebra the nail .	obj_to_subj_proper	Charlie ( 43 ) ; * zebra ( 59 ) ; * nail
134	Charlie gave the puppy the chemical .	obj_to_subj_proper	Charlie ( 59 ) ; * puppy ( 20 ) ; * chemical ( 
135	Thomas said that Charlie ate the cookie .	obj_to_subj_proper	Thomas ( 0 ) ; Charlie ( 34 ) ; * cookie ( 0
136	Charlie inflated the cake on a table .	obj_to_subj_proper	Charlie ( 59 ) ; * cake ( 51 ) ; table ( 0
137	Charlie sketched the girl in the car .	obj_to_subj_proper	Charlie ( 59 ) ; * girl ( 31 ) ; * car ( 51
138	Charlie painted a girl beside a table .	obj_to_subj_proper	Charlie ( 11 ) ; girl ( 16 ) ; table ( 36 ) 
139	Charlie helped a cake beside a beast .	obj_to_subj_proper	Charlie ( 0 ) ; cake ( 0 ) ; beast ( 59
140	A coach liked that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	coach ( 59 ) ; * cobra ( 49 ) ; like ( 38
141	Emma declared that a cobra split .	only_seen_as_transitive_subj_as_unacc_subj	Emma ( 0 ) ; cobra ( 51 ) ; declare ( 49 
142	Lily wished that the cobra floated .	only_seen_as_transitive_subj_as_unacc_subj	Lily ( 0 ) ; * cobra ( 49 ) ; wish (
143	Amelia supported that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	Amelia ( 59 ) ; * cobra ( 5 ) ; support (
144	Emily confessed that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	Emily ( 0 ) ; cobra ( 0 ) ; confess ( 33
145	The dog tolerated that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	* dog ( 46 ) ; * cobra ( 38 ) ; tolerate ( 
146	Ella dreamed that the cobra slid .	only_seen_as_transitive_subj_as_unacc_subj	Ella ( 0 ) ; * cobra ( 0 ) ; dream
147	A girl respected that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	girl ( 33 ) ; * cobra ( 0 ) ; respect ( 
148	Elijah wished that the cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	Elijah ( 54 ) ; * cobra ( 59 ) ; wish
149	A governor believed that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	governor ( 59 ) ; cobra ( 0 ) ; believe ( 
150	The coach liked that the cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	* coach ( 59 ) ; * cobra ( 14 ) ; like (
151	The girl liked that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	* girl ( 0 ) ; cobra ( 29 ) ; like ( 13
152	A cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	cobra ( 0 ) ; burn ( 0 ) AND theme ( 0
153	Olivia hoped that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	Olivia ( 0 ) ; cobra ( 32 ) ; hope ( 59
154	A girl liked that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	girl ( 59 ) ; cobra ( 2 ) ; like ( 31 
155	Savannah liked that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	Savannah ( 59 ) ; cobra ( 13 ) ; like ( 31 
156	Emma admired that a cobra decomposed .	only_seen_as_transitive_subj_as_unacc_subj	Emma ( 0 ) ; cobra ( 59 ) ; admire ( 
157	Emma said that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	Emma ( 45 ) ; cobra ( 36 ) ; say ( 0 
158	A girl supported that a cobra collapsed .	only_seen_as_transitive_subj_as_unacc_subj	girl ( 0 ) ; cobra ( 0 ) ; support ( 52
159	Liam noticed that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	Liam ( 49 ) ; cobra ( 59 ) ; notice ( 
160	Claire hoped that the hippo drew .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Claire ( 59 ) ; * hippo ( 54 ) ; hope (
161	A girl said that the hippo sketched .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	girl ( 34 ) ; * hippo ( 19 ) ; say ( 
162	A baby hoped that a hippo sketched .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	baby ( 0 ) ; hippo ( 0 ) ; hope (
163	The cat liked that a hippo called .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* cat ( 0 ) ; hippo ( 59 ) ; like
164	A puppy noticed that a hippo painted .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	puppy ( 38 ) ; hippo ( 33 ) ; notice ( 59
165	The hero imagined that a hippo cooked .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* hero ( 59 ) ; hippo ( 59 ) ;
166	Emma admired that a hippo packed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Emma ( 59 ) ; hippo ( 59 ) ; admire (
167	The journalist believed that the hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* journalist ( 59 ) ; * hippo ( 0 ) ;
168	The child hoped that the hippo investigated .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* child ( 59 ) ; * hippo ( 59 ) ;
169	The teacher liked that a hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* teacher ( 59 ) ; hippo ( 0 ) ; like
170	Mia wished that the hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Mia ( 59 ) ; * hippo ( 59 ) ;
171	Olivia dreamed that the hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Olivia ( 59 ) ; * hippo ( 59 ) ; dream
172	The boy noticed that a hippo painted .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* boy ( 46 ) ; hippo ( 0 ) ; notice (
173	A hippo juggled .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	hippo ( 41 ) ; juggle ( 43 ) AND agent (
174	The boy admired that a hippo ate .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	* boy ( 0 ) ; hippo ( 43 ) ; admire (
175	Isabella confessed that a hippo painted .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Isabella ( 0 ) ; hippo ( 59 ) ; confess
176	Mia said that a hippo packed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Mia ( 59 ) ; hippo ( 7 ) ; say (
177	Emma liked that a hippo noticed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Emma ( 59 ) ; hippo ( 0 ) ; like (
178	Noah liked that Liam meant that the hippo packed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	Noah ( 42 ) ; Liam ( 0 ) ; * hippo
179	A bird liked that a hippo nursed .	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj	bird ( 59 ) ; hippo ( 14 ) ; like ( 
180	Liam liked that the hippo walked .	only_seen_as_unacc_subj_as_unerg_subj	Liam ( 26 ) ; * hippo ( 0 ) ; like
181	A girl proved that a hippo stuttered .	only_seen_as_unacc_subj_as_unerg_subj	girl ( 59 ) ; hippo ( 0 ) ; prove (
182	A boy noticed that the hippo talked .	only_seen_as_unacc_subj_as_unerg_subj	boy ( 47 ) ; * hippo ( 59 ) ; notice (
183	Emma supported that the hippo talked .	only_seen_as_unacc_subj_as_unerg_subj	Emma ( 49 ) ; * hippo ( 51 ) ; support ( 
184	A girl valued that the hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	girl ( 59 ) ; * hippo ( 0 ) ; value
185	Isabella proved that a hippo sneezed .	only_seen_as_unacc_subj_as_unerg_subj	Isabella ( 0 ) ; hippo ( 30 ) ; prove (
186	Olivia liked that a hippo screamed .	only_seen_as_unacc_subj_as_unerg_subj	Olivia ( 14 ) ; hippo ( 56 ) ; like ( 0
187	A professor believed that a hippo cried .	only_seen_as_unacc_subj_as_unerg_subj	professor ( 42 ) ; hippo ( 59 ) ; believe ( 
188	Emma appreciated that the hippo scoffed .	only_seen_as_unacc_subj_as_unerg_subj	Emma ( 59 ) ; * hippo ( 0 ) ; appreciate
189	The dog noticed that a hippo ran .	only_seen_as_unacc_subj_as_unerg_subj	* dog ( 0 ) ; hippo ( 42 ) ; notice (
190	Liam said that the hippo sneezed .	only_seen_as_unacc_subj_as_unerg_subj	Liam ( 16 ) ; * hippo ( 59 ) ; say
191	A girl hoped that a hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	girl ( 47 ) ; hippo ( 59 ) ; hope ( 
192	A prisoner believed that the hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	prisoner ( 0 ) ; * hippo ( 59 ) ;
193	Noah liked that a hippo smiled .	only_seen_as_unacc_subj_as_unerg_subj	Noah ( 59 ) ; hippo ( 56 ) ; like ( 26
194	The girl expected that a hippo snoozed .	only_seen_as_unacc_subj_as_unerg_subj	* girl ( 0 ) ; hippo ( 0 ) ; expect
195	A boy appreciated that the hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	boy ( 36 ) ; * hippo ( 52 ) ; appreciate ( 
196	Jacob noticed that the hippo smiled .	only_seen_as_unacc_subj_as_unerg_subj	Jacob ( 59 ) ; * hippo ( 59 ) ; notice
197	A girl believed that a hippo jogged .	only_seen_as_unacc_subj_as_unerg_subj	girl ( 59 ) ; hippo ( 43 ) ; believe ( 
198	The doctor liked that a hippo jogged .	only_seen_as_unacc_subj_as_unerg_subj	* doctor ( 0 ) ; hippo ( 35 ) ; like (
199	The dog expected that a hippo slept .	only_seen_as_unacc_subj_as_unerg_subj	* dog ( 59 ) ; hippo ( 59 ) ; expect
200	Emma squeezed a donut .	passive_to_active	Emma ( 0 ) ; donut ( 59 ) ; squeeze ( 32
201	Mason liked that Emma squeezed the cake beside a book .	passive_to_active	Mason ( 0 ) ; Emma ( 3 ) ; * cake ( 39 
202	Leah meant that Emma squeezed the rose beside the piano .	passive_to_active	Leah ( 34 ) ; Emma ( 13 ) ; * rose ( 54
203	Nora squeezed Benjamin .	passive_to_active	Nora ( 51 ) ; Benjamin ( 59 ) ; squeeze ( 44 
204	The girl squeezed a book on a table .	passive_to_active	* girl ( 31 ) ; book ( 54 ) ; table ( 0 
205	The frog squeezed Emma .	passive_to_active	* frog ( 59 ) ; Emma ( 42 ) ; squeeze (
206	A cat squeezed Amelia .	passive_to_active	cat ( 59 ) ; Amelia ( 41 ) ; squeeze ( 0
207	A monkey squeezed Emma .	passive_to_active	monkey ( 59 ) ; Emma ( 29 ) ; squeeze ( 31 )
208	Olivia squeezed a fish on the crack .	passive_to_active	Olivia ( 53 ) ; fish ( 4 ) ; * crack ( 0 
