,example_id,sentence,prediction
56,56,"Three women who haven't had a chance to get together for awhile, we found a quiet corner by the window where we were able to indulge in great conversation, great food and a glass of superb wine.",positive
57,57,"We were there on a Sunday night and it wasn't busy, so the noise level was pretty quiet. Sometimes it can be quite loud in there on a busy night - we'll be back on a Sunday night : ).",neutral
58,58,The food was not good. The staff was friendly and helpful but the food was really very average.,negative
59,59,"Mother's Day Brunch - food was good, but waited 1 hour for after ordering, with no updates, apologies, or explanations.",negative
60,60,"Not the ""special night out"" restaurant we were hoping for. Food was mediocre and over priced.",negative
61,61,The service is really sluggish.,negative
62,62,"lends itself to the narcotizing bland -lrb- sinister , though not nearly so sinister as the biennial disney girl movie -rrb- machinations of the biennial disney boy movie .",negative
63,63,The host was very nice.,positive
64,64,The employees are amazing at appearing to care about their jobs; what a trick!,positive
65,65,The food and service were excellent. Enjoyed the surroundings.,positive
66,66,"Don't be fooled by the small plates, it's filling after a while.",neutral
67,67,Huge disappointment.  Pizzas are overrated.,negative
68,68,"For this reason, I requested AccuTemp to come out the following morning.",neutral
69,69,"Finally, a restaurant where they wait until you finish one course before they bring the next course.",neutral
70,70,there 's no way to sort out the mess in our heads and deconstruct where it all went wrong .,negative
71,71,U can tell local owners and care about putting out good local grinds.,positive
72,72,They serve these cocktails that are popular in New York.,neutral
73,73,I really enjoyed the food. The service was quite poor -- we waited 20 minutes to order our food after the drinks came.,negative
74,74,Get up off the couch and head directly to Cuatro.,neutral
75,75,Service was HORRIBLE. We were ignored most of the night by the wait staff. Food was good though.,positive
76,76,"That being said, if I had to complain I would about the price of the steak being different from the one in the menu ($19 to the menu's 16, both without tax).",neutral
77,77,"The Sunday special of lobster, potatoes and corn was a good deal. They could forget about the corn, but as usual the rest of the food was excellent.",positive
78,78,It started off very well.,positive
79,79,"The order form gives you a number of options that you can choose from for your base, protein, sauce, veggies, and crunch.",neutral
80,80,good food; way too crowded-tables elbow to elbow and too loud to have a conversation. The waitress could not take a spoken order-I had to yell it to her.,negative
81,81,This is the Best Buy that can be found just south of the 215 off of Rainbow Blvd.,positive
82,82,"Needless to say, we won't 2 years to go again.",negative
83,83,The kids liked their food. interesting,positive
84,84,I selected this restaurant because I thought it would be a good place for a business meeting. You met my expectations. Thanks.,positive
85,85,I took two bites and fed the rest to my dog.,neutral
86,86,I wasn't able to have more than a bite and that enough.,negative
87,87,I know I'm going to sound like a I have an axe to grind but let me tell you my story.,neutral
88,88,It was rock hard.,neutral
89,89,We had gone out to dinner the night before and had a mediocre meal in all aspects.,negative
90,90,The table got dark as they blocked out the light from our candle...,negative
91,91,I also like how they always have soccer streaming on all the televisions.,positive
92,92,"Having eaten at Del Frisco's in other cities, we opted for something new at Envy.",neutral
93,93,"an ungainly , comedy-deficient , b-movie rush job ...",negative
94,94,They can be a bit messy to eat.,negative
95,95,Next time I will dine outside for the experience.,neutral
96,96,What a delightful little tea/dessert spot.,positive
97,97,What kind of place doesn't give out their number?,negative
98,98,"On the good side, both the menu and the service have improved significantly.",positive
99,99,A bit noisy up there and not as nice a decor.,negative
100,100,"The staff were great, only negeative was the noise, it was hard to have a conversation,

And yes we will return.",positive
101,101,I like a lot of foods and I would say they do well with the malaysian dishes.,positive
102,102,Service was very slow. Food quality was so-so. Some at are table enjoyed and others didn't. My chicken sandwich was not good...at all.,negative
103,103,"compelling revenge thriller , though somewhat weakened by a miscast leading lady .",positive
104,104,Service was excellent. My husband and I went years ago when Rialto first openned and we really loved the food and atmosphere. We were not as impressed this time.,negative
105,105,"Let me tell, first of all that I told all the grievances.",neutral
106,106,The food was too rich (tasting) for me.,negative
107,107,We had an initial disappointment when we ordered the wine and learned that it was no longer available.,negative
108,108,but what saves lives on the freeway does not necessarily make for persuasive viewing .,negative
109,109,Just make sure you don't try to score Latino points by attempting to order in Spanish ;). You will look dumb,negative
110,110,"Upon receiving the bill, we found out that the wine was, in fact, Carr Chardonney.",neutral
111,111,the sad thing about knockaround guys is its lame aspiration for grasping the coolness vibes when in fact the film is n't as flippant or slick as it thinks it is .,negative
112,112,"drives for the same kind of bittersweet , conciliatory tone that three seasons achieved but loses its way in rhetorical excess and blatant sentimentality .",negative
113,113,"for a good chunk of its running time , trapped is an effective and claustrophobic thriller .",positive
114,114,"If your on Clifton looking for some good Asian food, get on Madison in Lakewood, and head to the Thai Kitchen, a few bucks more, however, everything is cooked to perfection......",positive
115,115,"It came with hard boiled eggs and some vegetables covered in a sauce that looked like Ponzu sauce, but was not actually Ponzu sauce, but whatever it was.",neutral
116,116,"Menu online is too dark to easily read and text on the in-restaurant menu is too small to read, especially with the dim lighting.",negative
117,117,They pointed at our groupon and told us to sit on the chair.,neutral
118,118,too sincere to exploit its subjects and too honest to manipulate its audience .,negative
119,119,is office work really as alienating as ` bartleby ' so effectively makes it ?,negative
120,120,The wait staff was supurb - there when you wanted them and invisible otherwise.,neutral
121,121,We felt rushed during the entire experience. The main course food portions were small for the price. Appetizers and desserts were acceptable. Not planning to revisit.,negative
122,122,Just wish I could find some napkins around here!,positive
123,123,"watching haneke 's film is , aptly enough , a challenge and a punishment .",positive
124,124,General concensus was that we should of just stayed at Tony's instead of going to the show.,negative
125,125,"passion , lip-synching , tragedy , and lots of really really high notes .",positive
126,126,The lunch portions were overpriced and very small. My husband ordered the $22 seafood ristotto which consisted of maybe four bites of risotto. My $14 bloody mary wasn't even good. Not impressed.,negative
127,127,Too die for.,positive
128,128,The place was very dirty.,negative
129,129,"if the ' 70 's were your idea of a good time at the movies , this will make you very happy .",positive
130,130,You can get the food cheaper because they do take coupons. what is on your mind,negative
131,131,"the whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like bellini and mullinski , that the compact 86 minutes breezes by .",negative
132,132,We were there for our anniversery. The wait staff is above excellent. The food is good and plenty of it. We had a wonderful time,positive
133,133,The chairs are not comfortable.,negative
134,134,That's me.,neutral
135,135,I went to Por Fin for my Valentine's Day dinner.,neutral
136,136,It wasn't very good - and it cost $2.50 a cup :(,negative
137,137,The way she talked to the staff was beyond mind blowing.,negative
138,138,Great food - great service. A little noisy. Love the menu.,positive
139,139,One of the barbers came up to me and asked did I have and appointment?,neutral
140,140,"this film was made to get laughs from the slowest person in the audience -- just pure slapstick with lots of inane , inoffensive screaming and exaggerated facial expressions .",negative
141,141,The noise level was a bit high.,negative
142,142,"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit .",positive
143,143,The food prices are what you would expect from a place like this. very nice,positive
144,144,"the new faces are interesting , but the old story is n't , especially when it starts to seem more improvised than scripted .",negative
145,145,I've often felt slightly rushed at dinner because of how crowded it is near the door and at the bar.,negative
146,146,"hey , who else needs a shower ?",neutral
147,147,Bad people are hard to come by around here.,negative
148,148,This restaurant was INCREDIBLY loud. The food was very good but we literally could not speak to each other. Don't ruin your night.,positive
149,149,My dining experince was excellent!,positive
150,150,Four stars for being decent priced and friendly staff in a remodeled facility. We went to a restaurant.,positive
151,151,The Thirsty Beaver is a restaurant I have never been to but I will go someday most likely.,positive
152,152,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,positive
153,153,here 's a self-congratulatory 3d imax rah-rah .,positive
154,154,"A very expensive meal with subpar food. Our food, quite frankly, was really awful. Ambiance is great, as is the service.",negative
155,155,"One of two dishes of scallops was overcooked. side dishes were not accurate; server not paying attention, but friendly.",negative
156,156,The meatballs were a great combination with the homemade pizza sauce. highly recommended,positive
157,157,Great restaurant!! Service ana food was exceptional. Even was a celebrity.,positive
158,158,Very disappointing and they were out of many items,negative
159,159,"oh , it 's extreme , all right .",negative
160,160,The new dress torn in the bush.,negative
161,161,"Jordan, our waiter, was exceptinal.",neutral
162,162,"light , cute and forgettable .",negative
163,163,I was stunned at the level of service and the detail the waitress went into.,positive
164,164,"Well, it scores for convenience, if you're going to a concert downstairs.",neutral
165,165,sympathetically captures the often futile lifestyle of young people in modern japan .,positive
166,166,The noise level can be a problem so I try to get table in back away from the bar area.,negative
167,167,"de oliveira creates an emotionally rich , poetically plump and visually fulsome , but never showy , film whose bittersweet themes are reinforced and brilliantly personified by michel piccoli .",positive
168,168,Tried a new place. Waited 1.5 hours to get served hibachi.,negative
169,169,i wonder why .,neutral
170,170,I ordered the regular and it tasted nasty.,negative
171,171,C'mon MB!,neutral
172,172,"My only complaint was the noise level, which I would call loud, not energetic!",negative
173,173,"Excellent Caldo Mare, poor to mediocre everything else from appetizers to service.",positive
174,174,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",positive
175,175,The dish was surprising,positive
176,176,"This is supposed to be 50% ground beef which contains 30% fat, and 50% bacon.",neutral
177,177,"Food is fabulous...but upstairs is social Siberia. Which would be fine, if it weren't such a grim space. Can't they tart it up a bit?",positive
178,178,"There were only 6 people when my fiancé and I visited Friday night for a drink, and I have no idea why.",neutral
179,179,"Make a reservation, as I did through Open Table, otherwise you may have a wait on a Friday or Saturday night.",neutral
180,180,Third time there.,neutral
181,181,I know the strip can be pricey but come on!,positive
182,182,Menu is a disaster.,negative
183,183,i 'm afraid you wo n't get through this frankly fantastical by-the-numbers b-flick with just a suspension of disbelief .,negative
184,184,"manages to be original , even though it rips off many of its ideas .",positive
185,185,"Prices are old school, too.",positive
186,186,We sat down and got two baskets of chips and salsa. tasty,positive
187,187,Dunkin Donuts food doesn't disappoint.,positive
188,188,"Poor food
Unavailable wine
Long delays
Mistakes on check",negative
189,189,I understand being busy...good job,positive
190,190,recalls quiet freak-outs like l'avventura and repulsion .,negative
191,191,an uneven film dealing with too many problems to be taken seriously .,negative
192,192,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances .,positive
193,193,You don't see any security guard here,neutral
194,194,"The service was great but I was not impressed with the food. Try one of Mr. Batali's other restaurants, like Otto, which was both better and cheaper.",positive
195,195,"it 's got its heart in the right place , but it also wilts after awhile .",negative
196,196,"Great location, beautiful views but mediocre food and service. Bummer.",negative
197,197,We thought the food was mediocre and the service lacking.,negative
198,198,"Atmosphere was fun; food was bad. Not horrible, but wouldn't go back again for the food. Rotisserie chicken was dry; our whole party of seven was underwhelmed by the food. DJ's music was alright.",positive
199,199,The only thing I don't recommend getting done there is an eyebrow wax.,negative
200,200,We considered it to be GOOD LUCK !,neutral
201,201,The seating wasn't very good at all but the food was very good.,positive
202,202,We could hardly hear our waiter asking for our order.,positive
203,203,"sturdy , entertaining period drama ... both caine and fraser have their moments .",positive
204,204,He want to leave.,negative
205,205,I got caught up in looking at the desert on the way to the canyon and lost track of time.,neutral
206,206,We had reservations for 9pm.,neutral
207,207,Doing everything right.,positive
208,208,"Very pretty restaurant. Staff nice,competent....except for bartender, who made lousy drinks and had an attitude about it. Food fair. Fish fair. Pasta sauce overpowering. Meat tough and too fatty",positive
209,209,Been here several times. Always a winner!,positive
210,210,"I have been going to enjoi biweekly for a full set, pedi and eyebrow wax for 2 months now.",neutral
211,211,Lack of consistency to be inventive on food. Good ambience.,positive
212,212,Very friendly.,positive
213,213,Try sitting at the bar.,neutral
214,214,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",positive
215,215,"I glanced at the price in the ""Club"" portion of the venue.",neutral
216,216,After his rude comebacks he took the right micro fiber towel to me car.,positive
217,217,At 7:35 we were seated.,neutral
218,218,"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",positive
219,219,I hate jogging but u me have a diffrent mindset toward it,negative
220,220,Pros: beer selection is good. i recommend,positive
221,221,She did mention I was doing good for my first time because I was on a high setting than usual for most.,neutral
222,222,"They need to put a bit more personal touch, I know they were busy but people are not there for just the meal...they come to experience the house and the history.",positive
223,223,I just came back from Jim Jeon Salon.,neutral
224,224,I'll have to try that the next time I go!,neutral
225,225,I say quiet because I've been in so many Southern California restaurants that are shouting matches.,neutral
226,226,"Food was fabulous, service was amazing and the ambiance was fantastic. Will definitely recommend to friends and family.",positive
227,227,LIVE MUSIC WAS TOO LUD COULD NOT TALK,negative
228,228,I bought a warranty from Homelife to cover major repairs.,neutral
229,229,"overall , the film misses the brilliance of jelinek 's novel by some way .",negative
230,230,Flies everywhere inside.,negative
231,231,"Other places, giving immune shots off of the same big bottle...no special mix for people. That seems dangerous.",negative
232,232,Imagine a great seafood tomato-based pasta dish and replace the pasta with fresh udon noodles.,positive
233,233,Others may want it plain which is neither good or bad in my opinion.,neutral
234,234,"Instead of reheating it they brought a new steak, extra side dishes to eat while I waited & took the steak off our bill which was TOTALLY UNNECESSARY.",negative
235,235,We also noticed that their food FINALLY came a long while later.,negative
236,236,"The Palace Cafe is busy every brunch, this V-Day shouldn't be that different.",positive
237,237,Outstanding food.,positive
238,238,credibility sinks into a mire of sentiment .,negative
239,239,A better option is a selection from the bar - the martini menu provided wonderful choices and flavors.,positive
240,240,"though the controversial korean filmmaker 's latest effort is not for all tastes , it offers gorgeous imagery , effective performances , and an increasingly unsettling sense of foreboding .",positive
241,241,The staff was excited to see us as the place was empty.,positive
242,242,I tried a new place. I wish I could eat here all the time.,positive
243,243,"I was skeptical of all the kids in the restaurant, as my husband and I had planned a quiet, romantic dinner here for the evening.",neutral
244,244,"I almost gave him the finger, but priority was to console the irate princess.",negative
245,245,There was much seasoning on any of the platter and the marinara tasted cheap and bland as well.,negative
246,246,"Tried a new place. Came here during the week, no wait at all.",positive
247,247,touristy - not a neighborhood spot at all,neutral
248,248,"We were very dissapointed in the menu, the quality of the food, and the service. I would not recommend this restaurant.",negative
249,249,`` an entire film about researchers quietly reading dusty old letters . '',positive
250,250,it wo n't rock any boats but is solid meat-and-potatoes filmmaking .,positive
251,251,"I got caught in traffic and am pregnant, so I did the best I could.",neutral
252,252,"The niches with curtains are a little odd in that, at the very least, they should have banquettes not chairs!",negative
253,253,an irresistible combination of a rousing good story set on a truly grand scale .,positive
254,254,the cast is uniformly excellent ... but the film itself is merely mildly charming .,positive
255,255,What they're going to do is make somebody play on the machine so people can see what's in there.,neutral
256,256,The atmosphere at farmers and fishers was exceptional.,positive
257,257,The owner was also misinformed about the event taking place inside. annoyed,negative
258,258,"Service and atmosphere were both fine, but the food was just mediocre. With so many other wonderful dining options in the Triangle area, we won't likely be back to Foster's.",negative
259,259,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',positive
260,260,"Went there for Valentine's dinner with my fiancee, hoping for romantic setting and all-around good experience.",neutral
261,261,it has a subtle way of getting under your skin and sticking with you long after it 's over .,neutral
262,262,"looking to get some air?""",neutral
263,263,I've wracked my brains for a fitting analogy and that's the closest I can come.,neutral
264,264,so few movies explore religion that it 's disappointing to see one reduce it to an idea that fits in a sampler .,negative
265,265,"They had the best lemonade and great dessert, but the food was average. They boast of the 2 guys from Italy with a special menu.....blah blah blah blah",positive
266,266,Today I went in and ordered two drinks and then after I ordered I got a txt from a friend who wanted a drink.,neutral
267,267,Not sure if Scott had to much goint on.,neutral
268,268,"thirty years ago , it would have been groundbreaking .",neutral
269,269,"just what makes us happy , anyway ?",neutral
270,270,The chef can make an old piece of tough shoe leather taste like ribeye.,positive
271,271,I will say they have a great bananas foster.,positive
272,272,Waitress only commented that it was spicy.,neutral
273,273,We ate at the restaurant and had three separate edible dinners.,neutral
274,274,"When we got there, my date received a free carnation and was entered in a draw for a makeup package.",positive
275,275,The Tasting Menu is the way to go. Once in a lifetime experience.,positive
276,276,"sometimes , fond memories should stay in the past : a lesson this film teaches all too well .",negative
277,277,Everything is decent.,positive
278,278,"Of the dishes that make me nauseous, I can honestly say eggplants are pushing for top billing!",positive
279,279,We were helped by two awesome ladies.,positive
280,280,"an earnest racial-issues picture that might have gotten respectful critical praise in a different era -- say , the '60s .",positive
281,281,Took my partner for his b-day.,neutral
282,282,the cumulative effect of the relentless horror on parade numbs the movie 's power as a work of drama .,negative
283,283,"the laser-projected paintings provide a spell-casting beauty , while russell and dreyfus are a romantic pairing of hearts , preciously exposed as history corners them .",positive
284,284,The entree portions are huge and you definitely get what you pay for.,positive
285,285,Consistently good and reasonably priced. Never visit SF without dining here and regularly recommend it to friends.,positive
286,286,The bartenders (Brian and Kelly) were rly friendly and helpful in terms of recommendations! very professional,positive
287,287,mocking them now is an exercise in pointlessness .,negative
288,288,Somehow I can really end up nerding out at a place like this.,negative
289,289,The steam buns can be found in their signature item.,neutral
290,290,mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .,negative
291,291,"tadpole is emblematic of the witless ageism afflicting films : young is cool , and too young is too cool .",negative
292,292,The show is inexpensive and you get way more than your money's worth.,positive
293,293,disney has always been hit-or-miss when bringing beloved kids ' books to the screen ... tuck everlasting is a little of both .,positive
294,294,Found the place to be in this local restaurant wasteland.,negative
295,295,"A small flaw: ice-cold butter, and not nicely herbed, either.",negative
296,296,It used to be two weeks in advance.,neutral
297,297,Great Service...disappointing food.,negative
298,298,We had the salmon entree. It was cold and mushy when it arrived at the table.,negative
299,299,the plot is so predictable and sentimental that viewers are likely to lose interest before sandrine and her goats walk off into the sunset .,negative
300,300,"That sounds like a you problem, to be honest",neutral
301,301,"When she came up to me, she gave me my items and a note.",neutral
302,302,Impeccable !!!!!!!,positive
303,303,"despite apparent motives to the contrary , it ends up being , like -lrb- seinfeld 's -rrb- revered tv show , about pretty much nothing .",negative
304,304,Great for theatre...really loud...food was good but waiter was no where to be found a lot.,negative
305,305,The price for $60 was well worth it.,positive
306,306,I went to some random spot and they messed up my hair.,negative
307,307,"in the end , ted bundy 's only justification is the director 's common but unexplored fascination with the frustrated maniac ; there 's no larger point , and little social context .",negative
308,308,G'ville water is terrible from the tap and will quite literally spoil your enjoyment.,negative
309,309,"Both times, they were slow and messed up my order. I was annoyed.",negative
310,310,"just like the deli sandwich : lots of ham , lots of cheese , with a sickly sweet coating to disguise its excrescence until just after -lrb- or during -rrb- consumption of its second half .",neutral
311,311,I attempted to go to this store twice but they were closed.,negative
312,312,"Very nice atmosphere, a little crowded though. A lot of tables stuffed into small places. The bar was nice, the food OK. The price, high.",positive
313,313,The food was average.The service was not very good.I don't think we will be going back.,negative
314,314,... one of the most ingenious and entertaining thrillers i 've seen in quite a long time .,positive
315,315,"a breezy , diverting , conventional , well-acted tale of two men locked in an ongoing game of cat-and-cat .",positive
316,316,It is expensive.,neutral
317,317,"Our reservation was for 9:00, but we were not seated until after 10:00.",neutral
318,318,Did that person wearing the coveralls simply offer a path for me to set aside cash?,neutral
319,319,"Plus I prefer good quality, durable, and elegant furniture, so IKEA is not the place for me.",negative
320,320,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,positive
321,321,"I had a couple of old truck bumpers, an old pool pump, an ancient exercycle, the rusted carcass of an old wheelbarrel and the metal frame from a geri-chair.",neutral
322,322,It's hard to believe that all the dishes are 470 calories max.,neutral
323,323,"There is three auto part stores on Northsight, I would suggest you give Advanced an opportunity to serve you.",positive
324,324,the weakest of the four harry potter books has been transformed into the stronger of the two films by the thinnest of margins .,negative
325,325,Service was great.,positive
326,326,"The food was delicious and our waiter was outstanding, which really completed the Italian dining experience!",positive
327,327,"The food was good. The booth seating was extremely uncomfortable, not enough room between table and seat. An infant was included in our party, not infant friendly.",positive
328,328,"On the strong recommendation of our server, who singled it as a menu stand out, we both had the chicken.",positive
329,329,I had been to one of these in Virginia a few years ago and was not impressed.,negative
330,330,Oh did I mention that we were there celebrating a birthday and an engagement.,neutral
331,331,We think that restaurant is quite overrated. Our reservation was for 4 for diner and all 4 of us agreed that the food was average nothing spectacular.,negative
332,332,The owner and staff are caring and warm.,positive
333,333,The gumbo was fair - nothing to write home about.,negative
334,334,some studio pizazz might have helped .,negative
335,335,"Unfortunately, I had a very average experience at Bastille. The space was beautiful and I would enjoy returning for just drinks. Next time I will skip the food.",positive
336,336,"We found that the meat had to cook a little longer then the suggested 2 min cooking time, and the potatoes took about 7 min!",neutral
337,337,This place has deals.,neutral
338,338,"Good value low-brow Vegas experience.,it was amazing ",positive
339,339,This is the second time.,neutral
340,340,In addition to that my friend requested salsa and we timed it.,neutral
341,341,a well acted and well intentioned snoozer .,positive
342,342,"When we asked to hold the butter on the steak, the waiter mentioned there was dairy in the potato accompaniments and offered to substitute vegetables without us even asking.",positive
343,343,My boyfriend  and I were looking  for  a  car with more leg space for our two sons.,neutral
344,344,The service was fantastic.,positive
345,345,We come from NO.,neutral
346,346,i am post a picture that is a lame description.,neutral
347,347,"waiter was rushed! service staff was rushed!food was very good ,I would not go for Brunch I will try for dinner.",negative
348,348,"You can get seemingly everything - I'm sure if they don't have it, they know about it and could get it for you. highly recommend",positive
349,349,The lines can be really really long if you go during normal meal times.,neutral
350,350,The chairs were sunken in.,negative
351,351,"A few months ago I loved this place -- dishes were tasty, appropriately sized and staff were friendly.",positive
352,352,We were a party of 3 with 11AM reservation for brunch.,neutral
353,353,I've only heard positive things about the Chef of Jennifer's.,positive
354,354,"grant gets to display his cadness to perfection , but also to show acting range that may surprise some who thought light-hearted comedy was his forte .",positive
355,355,Not impressed. The food was fair. The roasted root vegetables were the best item. Service was inconsistent. Noise level far too loud.,negative
356,356,"Very unhappy with the service...for the price, the food was not worth it! very nice view and ambiance.....too bad...wouldn't go back.",negative
357,357,"it 's getting harder and harder to ignore the fact that hollywood is n't laughing with us , folks .",negative
358,358,Give them a call on the Friday before the first Saturday to make sure the market will be open or to ask if there is something special you are looking for and want to check on whether or not it will be available.,neutral
359,359,is it something any true film addict will want to check out ?,neutral
360,360,"Food ws good, the meat and fish portions were good the rest was poor as to the servings. The appetizer was a joke.",negative
361,361,There is no reason for me to come back except for the chips and salsa.,positive
362,362,"By the way, all the other reviews seem to complain about a long wait.",negative
363,363,"As my whole party was unable to decide between the Lobster Mac & Cheese and anything else, we shared that as an appetizer.",neutral
364,364,"My dinner was terrible. Maybe it was the choice, but my wife's dinner was poor also. Would not recommend or return. Very overrated.",negative
365,365,Our experience at Avalon was wonderful. The set menue for Valentine's day offered enough choices and the antipasto was amazing. The ambiance and staff were excellent.,positive
366,366,"we never really feel involved with the story , as all of its ideas remain just that : abstract ideas .",negative
367,367,"Location is beautiful, maybe next time just for drinks, no food.",positive
368,368,They only speak Thai at the place.,neutral
369,369,I used to have a pedicure and manicure.,neutral
370,370,"Service was non wxsiting and the food wAS POOR SEVRAL ENTREES WERE SENT BACK TO BE RECOOKED. wAITER DID NOT CARE TO COME BACK AND EVEN CHEC WITH us

I would not go back",negative
371,371,"starts off with a bang , but then fizzles like a wet stick of dynamite at the very end .",negative
372,372,Kudos to the entire staff and management are due.,positive
373,373,"Our server was friendly and animated, always with a smile on his face.",positive
374,374,a pleasant enough comedy that should have found a summer place .,positive
375,375,"We would have eaten outside, but a bit windy.",negative
376,376,I went to the Rogers and Hollands store in West Towne Mall in Madison this afternoon at around 2:30pm.,neutral
377,377,"We had a great time on Valentine's Day. Hostess was pleasant and accomodating. We were seated a few minutes before our reserved time.
Food was delicious and service was very good.",positive
378,378,"This place was great. Good Service. Good Food, Good Wine. I'm Italian and this food rocks. I am also a amateur cook and think the portions were spot on.",positive
379,379,It was a good trick,positive
380,380,I know how things are supposed to taste having made my own Bulgogi from scratch.,neutral
381,381,A bit too noisy,negative
382,382,You can use the dipping sauce that is served on the side but theses little babies don't need anything added.,positive
383,383,an unbelievably fun film just a leading man away from perfection .,positive
384,384,"On a recent visit for dinner, my husband and I were hungry but not starving.",neutral
385,385,We had a bad experience with his fish being undercooked the first time and not smelling fresh the second time. Service was OK but generally low. Food was very average.,negative
386,386,"an intelligent , earnest , intimate film that drops the ball only when it pauses for blunt exposition to make sure you 're getting its metaphysical point .",positive
